class,filepath
sbenu,./Train/sbenu/381.jpg
newbalance,./Train/newbalance/122.jpg
sbenu,./Train/sbenu/804.jpg
newbalance,./Train/newbalance/245.jpg
reebok,./Train/reebok/192.jpg
nike,./Train/nike/573.jpg
newbalance,./Train/newbalance/246.jpg
adidas,./Train/adidas/1 (109).jpg
puma,./Train/puma/322.jpg
crocs,./Train/crocs/243.jpg
puma,./Train/puma/38.jpg
reebok,./Train/reebok/370.jpg
barefoot,./Train/barefoot/32.jpg
barefoot,./Train/barefoot/289.jpg
converse,./Train/converse/365.jpg
crocs,./Train/crocs/11.jpg
converse,./Train/converse/470.jpg
reebok,./Train/reebok/457.jpg
nike,./Train/nike/181.jpg
vans,./Train/vans/vans_23.jpg
newbalance,./Train/newbalance/48 (2).jpg
nike,./Train/nike/684.jpg
drmartens,./Train/drmartens/44.jpg
zeepseen,./Train/zeepseen/20 (2).jpg
adidas,./Train/adidas/92.jpg
nike,./Train/nike/694.jpg
newbalance,./Train/newbalance/31 (2).jpg
vans,./Train/vans/400.jpg
puma,./Train/puma/361.jpg
puma,./Train/puma/640.jpg
barefoot,./Train/barefoot/203.jpg
lecoq,./Train/lecoq/57.jpg
drmartens,./Train/drmartens/521.jpg
zeepseen,./Train/zeepseen/mun000190.jpg
barefoot,./Train/barefoot/421.jpg
zeepseen,./Train/zeepseen/75.jpg
adidas,./Train/adidas/1 (12).jpg
reebok,./Train/reebok/653.jpg
converse,./Train/converse/267.jpg
sbenu,./Train/sbenu/99.jpg
reebok,./Train/reebok/157.jpg
reebok,./Train/reebok/420.jpg
converse,./Train/converse/462.jpg
adidas,./Train/adidas/350.jpg
sbenu,./Train/sbenu/428.jpg
drmartens,./Train/drmartens/418.jpg
adidas,./Train/adidas/102.jpg
zeepseen,./Train/zeepseen/12.jpg
drmartens,./Train/drmartens/353.jpg
nike,./Train/nike/596.jpg
descente,./Train/descente/2963310_1.jpg
crocs,./Train/crocs/167.jpg
adidas,./Train/adidas/332.jpg
puma,./Train/puma/617.jpg
newbalance,./Train/newbalance/319.jpg
reebok,./Train/reebok/278.jpg
reebok,./Train/reebok/2 (170).jpg
nike,./Train/nike/409.jpg
reebok,./Train/reebok/212.jpg
drmartens,./Train/drmartens/24.jpg
reebok,./Train/reebok/41.jpg
drmartens,./Train/drmartens/5.jpg
drmartens,./Train/drmartens/260.jpg
newbalance,./Train/newbalance/129.jpg
crocs,./Train/crocs/291.jpg
crocs,./Train/crocs/93.jpg
adidas,./Train/adidas/60.jpg
reebok,./Train/reebok/609.jpg
crocs,./Train/crocs/224.jpg
converse,./Train/converse/163.jpg
nike,./Train/nike/73.jpg
reebok,./Train/reebok/419.jpg
vans,./Train/vans/240.jpg
vans,./Train/vans/390.jpg
reebok,./Train/reebok/77.jpg
nike,./Train/nike/60.jpg
nike,./Train/nike/717.jpg
newbalance,./Train/newbalance/252.jpg
nike,./Train/nike/704.jpg
newbalance,./Train/newbalance/22 (2).jpg
sbenu,./Train/sbenu/60.jpg
reebok,./Train/reebok/402.jpg
nike,./Train/nike/59.jpg
adidas,./Train/adidas/151.jpg
puma,./Train/puma/614.jpeg
converse,./Train/converse/352.jpg
drmartens,./Train/drmartens/13 (2).jpg
drmartens,./Train/drmartens/281.jpg
adidas,./Train/adidas/405.jpeg
converse,./Train/converse/381.jpg
adidas,./Train/adidas/457.jpg
adidas,./Train/adidas/475.jpg
converse,./Train/converse/305.jpg
lecoq,./Train/lecoq/19.jpg
vans,./Train/vans/433.jpg
drmartens,./Train/drmartens/282.jpg
nike,./Train/nike/nike_38.jpg
reebok,./Train/reebok/328.jpg
puma,./Train/puma/455.jpg
drmartens,./Train/drmartens/155.jpg
nike,./Train/nike/444.jpg
reebok,./Train/reebok/57.jpg
adidas,./Train/adidas/118.jpg
vans,./Train/vans/vans_40.jpg
converse,./Train/converse/391.jpg
zeepseen,./Train/zeepseen/19 (2).jpg
converse,./Train/converse/2UishmxDSxYobFrfRcet.jpg
adidas,./Train/adidas/320.jpg
nike,./Train/nike/232.jpg
converse,./Train/converse/482.jpg
barefoot,./Train/barefoot/239.jpg
drmartens,./Train/drmartens/275.jpg
crocs,./Train/crocs/18.jpg
barefoot,./Train/barefoot/19.jpg
drmartens,./Train/drmartens/228.jpg
nike,./Train/nike/279.jpg
reebok,./Train/reebok/552.jpg
sbenu,./Train/sbenu/439.jpg
lecoq,./Train/lecoq/269.jpg
reebok,./Train/reebok/145.jpg
adidas,./Train/adidas/1 (136).jpg
newbalance,./Train/newbalance/187.jpg
converse,./Train/converse/23.jpg
adidas,./Train/adidas/1 (36).jpg
crocs,./Train/crocs/35.jpg
barefoot,./Train/barefoot/20.jpg
sbenu,./Train/sbenu/630.jpg
reebok,./Train/reebok/626.jpg
drmartens,./Train/drmartens/368.jpg
adidas,./Train/adidas/79.jpg
nike,./Train/nike/621.jpg
nike,./Train/nike/732.jpg
drmartens,./Train/drmartens/497.jpg
lecoq,./Train/lecoq/125.jpg
newbalance,./Train/newbalance/327.jpg
nike,./Train/nike/1.jpg
sbenu,./Train/sbenu/845.jpg
adidas,./Train/adidas/366.jpg
nike,./Train/nike/90.jpg
descente,./Train/descente/dcs02.jpg
drmartens,./Train/drmartens/405.jpg
adidas,./Train/adidas/75.jpg
lecoq,./Train/lecoq/86.jpg
nike,./Train/nike/530.jpg
adidas,./Train/adidas/417.jpg
puma,./Train/puma/564.jpg
sbenu,./Train/sbenu/117.jpg
drmartens,./Train/drmartens/371.jpg
converse,./Train/converse/541.jpg
nike,./Train/nike/36.jpg
reebok,./Train/reebok/2 (88).jpg
reebok,./Train/reebok/178.jpg
adidas,./Train/adidas/521.jpg
vans,./Train/vans/76.jpg
lecoq,./Train/lecoq/124.jpg
vans,./Train/vans/vans_2.jpg
zeepseen,./Train/zeepseen/47 (2).jpg
adidas,./Train/adidas/1 (139).jpg
vans,./Train/vans/112.jpg
barefoot,./Train/barefoot/333.jpg
adidas,./Train/adidas/304.jpg
converse,./Train/converse/530.jpg
nike,./Train/nike/569.jpg
newbalance,./Train/newbalance/32.jpg
adidas,./Train/adidas/313.jpg
newbalance,./Train/newbalance/278.jpg
reebok,./Train/reebok/567.jpg
reebok,./Train/reebok/2 (160).jpg
zeepseen,./Train/zeepseen/53562.jpg
nike,./Train/nike/216.jpg
nike,./Train/nike/62.jpg
reebok,./Train/reebok/407.jpg
lecoq,./Train/lecoq/183.jpg
vans,./Train/vans/173.jpg
newbalance,./Train/newbalance/11 (2).jpg
vans,./Train/vans/251.jpg
puma,./Train/puma/396.jpg
drmartens,./Train/drmartens/124.jpg
puma,./Train/puma/615.jpg
adidas,./Train/adidas/16.jpg
vans,./Train/vans/258.jpg
vans,./Train/vans/15.jpg
zeepseen,./Train/zeepseen/24.jpg
vans,./Train/vans/430.jpg
adidas,./Train/adidas/39.jpg
sbenu,./Train/sbenu/161.jpg
converse,./Train/converse/534.jpg
adidas,./Train/adidas/1 (90).jpg
puma,./Train/puma/139.jpg
newbalance,./Train/newbalance/214.jpg
nike,./Train/nike/597.jpg
converse,./Train/converse/513.jpg
sbenu,./Train/sbenu/640.jpg
crocs,./Train/crocs/213.jpg
nike,./Train/nike/587.jpg
drmartens,./Train/drmartens/465.jpg
crocs,./Train/crocs/198.jpg
sbenu,./Train/sbenu/78.jpg
reebok,./Train/reebok/2 (38).jpg
nike,./Train/nike/396.jpg
nike,./Train/nike/141.jpg
vans,./Train/vans/393.jpg
drmartens,./Train/drmartens/26 (2).jpg
newbalance,./Train/newbalance/203.jpg
puma,./Train/puma/345.jpg
descente,./Train/descente/916756876.jpg
newbalance,./Train/newbalance/69.jpg
puma,./Train/puma/70.jpg
sbenu,./Train/sbenu/742.jpg
reebok,./Train/reebok/644.jpg
adidas,./Train/adidas/84.jpg
zeepseen,./Train/zeepseen/23 (2).jpg
lecoq,./Train/lecoq/135.jpg
puma,./Train/puma/39 (2).jpg
puma,./Train/puma/297.jpg
adidas,./Train/adidas/126.jpg
reebok,./Train/reebok/405.jpg
adidas,./Train/adidas/197.jpg
reebok,./Train/reebok/423.jpg
crocs,./Train/crocs/298.jpg
converse,./Train/converse/360.jpg
vans,./Train/vans/429.jpg
sbenu,./Train/sbenu/691.jpg
vans,./Train/vans/78.jpg
vans,./Train/vans/372.jpg
newbalance,./Train/newbalance/88 (2).jpg
crocs,./Train/crocs/268.jpg
adidas,./Train/adidas/264.jpg
drmartens,./Train/drmartens/186.jpg
puma,./Train/puma/4.jpg
drmartens,./Train/drmartens/501.jpg
reebok,./Train/reebok/461.jpg
puma,./Train/puma/218.jpg
drmartens,./Train/drmartens/278.jpg
newbalance,./Train/newbalance/148.jpg
newbalance,./Train/newbalance/150.jpg
lecoq,./Train/lecoq/149.jpg
reebok,./Train/reebok/513.jpg
crocs,./Train/crocs/179.jpg
puma,./Train/puma/501.jpg
nike,./Train/nike/398.jpg
newbalance,./Train/newbalance/55 (2).jpg
sbenu,./Train/sbenu/695.jpg
nike,./Train/nike/26.jpg
converse,./Train/converse/61.jpg
puma,./Train/puma/232.jpg
barefoot,./Train/barefoot/41.jpg
drmartens,./Train/drmartens/409.jpg
zeepseen,./Train/zeepseen/download (4).jpg
crocs,./Train/crocs/202.jpg
drmartens,./Train/drmartens/97.jpg
nike,./Train/nike/225.jpg
converse,./Train/converse/74.jpg
converse,./Train/converse/181.jpg
newbalance,./Train/newbalance/239.jpg
barefoot,./Train/barefoot/25.jpg
puma,./Train/puma/181.jpg
sbenu,./Train/sbenu/417.jpg
newbalance,./Train/newbalance/66 (2).jpg
puma,./Train/puma/605.jpg
nike,./Train/nike/nike_19.jpg
reebok,./Train/reebok/199.jpg
reebok,./Train/reebok/189.jpg
zeepseen,./Train/zeepseen/48 (2).jpg
puma,./Train/puma/296.jpg
lecoq,./Train/lecoq/176.jpg
reebok,./Train/reebok/148.jpg
converse,./Train/converse/265.jpg
crocs,./Train/crocs/201.jpg
nike,./Train/nike/669.jpg
adidas,./Train/adidas/134.jpg
puma,./Train/puma/468.jpg
reebok,./Train/reebok/2 (29).jpg
converse,./Train/converse/325.jpg
nike,./Train/nike/231.jpg
sbenu,./Train/sbenu/833.jpg
reebok,./Train/reebok/358.jpg
drmartens,./Train/drmartens/321.jpg
puma,./Train/puma/310.jpg
newbalance,./Train/newbalance/247.jpg
zeepseen,./Train/zeepseen/28.jpg
adidas,./Train/adidas/1 (52).jpg
puma,./Train/puma/477.jpg
vans,./Train/vans/72.jpg
converse,./Train/converse/215.jpg
newbalance,./Train/newbalance/29 (2).jpg
puma,./Train/puma/55.jpg
lecoq,./Train/lecoq/212.jpg
drmartens,./Train/drmartens/7.jpg
newbalance,./Train/newbalance/202.jpg
lecoq,./Train/lecoq/298.jpg
newbalance,./Train/newbalance/54 (2).jpg
sbenu,./Train/sbenu/644.jpg
zeepseen,./Train/zeepseen/images (8).jpg
nike,./Train/nike/504.jpg
converse,./Train/converse/227.jpg
adidas,./Train/adidas/250.jpg
nike,./Train/nike/451.jpg
sbenu,./Train/sbenu/411.jpg
reebok,./Train/reebok/104.jpg
vans,./Train/vans/246.jpg
puma,./Train/puma/552.jpg
lecoq,./Train/lecoq/43.jpg
vans,./Train/vans/74.jpg
adidas,./Train/adidas/22.jpg
newbalance,./Train/newbalance/72.jpg
drmartens,./Train/drmartens/546.jpg
drmartens,./Train/drmartens/426.jpg
adidas,./Train/adidas/105.jpg
converse,./Train/converse/243.jpg
barefoot,./Train/barefoot/108.jpg
drmartens,./Train/drmartens/63.jpg
converse,./Train/converse/10d159a20.jpg
crocs,./Train/crocs/65.jpg
vans,./Train/vans/461.jpg
reebok,./Train/reebok/2 (157).jpg
reebok,./Train/reebok/338.jpg
drmartens,./Train/drmartens/10 (2).jpg
adidas,./Train/adidas/1 (40).jpg
crocs,./Train/crocs/139.jpg
puma,./Train/puma/442.jpg
reebok,./Train/reebok/42.jpg
drmartens,./Train/drmartens/564.jpg
descente,./Train/descente/50750378_1_1494419232_w320.jpg
nike,./Train/nike/nike_5.jpg
puma,./Train/puma/33 (2).jpg
puma,./Train/puma/93.jpg
drmartens,./Train/drmartens/167.jpg
descente,./Train/descente/163.jpg
reebok,./Train/reebok/2 (77).jpg
reebok,./Train/reebok/66.jpg
lecoq,./Train/lecoq/109.jpg
crocs,./Train/crocs/69.jpg
drmartens,./Train/drmartens/339.jpg
puma,./Train/puma/198.jpg
nike,./Train/nike/649.jpg
vans,./Train/vans/453.jpg
sbenu,./Train/sbenu/19 (2).jpg
adidas,./Train/adidas/533.jpg
converse,./Train/converse/302.jpg
newbalance,./Train/newbalance/65 (2).jpg
nike,./Train/nike/340.jpg
converse,./Train/converse/477.jpg
reebok,./Train/reebok/2 (34).jpg
reebok,./Train/reebok/67.jpg
adidas,./Train/adidas/451.jpg
adidas,./Train/adidas/142.jpg
reebok,./Train/reebok/441.jpg
barefoot,./Train/barefoot/61.jpg
nike,./Train/nike/120.jpg
newbalance,./Train/newbalance/83.jpg
lecoq,./Train/lecoq/118.jpg
newbalance,./Train/newbalance/58.jpg
puma,./Train/puma/48.jpg
newbalance,./Train/newbalance/49.jpg
drmartens,./Train/drmartens/215.jpg
crocs,./Train/crocs/34.jpeg
reebok,./Train/reebok/118.jpeg
puma,./Train/puma/513.jpg
reebok,./Train/reebok/582.jpg
newbalance,./Train/newbalance/85 (2).jpg
converse,./Train/converse/25.jpg
sbenu,./Train/sbenu/422.jpg
reebok,./Train/reebok/277.jpg
newbalance,./Train/newbalance/100 (2).jpg
vans,./Train/vans/120.jpg
nike,./Train/nike/492.jpg
reebok,./Train/reebok/4.jpg
converse,./Train/converse/481.jpg
adidas,./Train/adidas/349.jpg
sbenu,./Train/sbenu/89.jpg
reebok,./Train/reebok/2 (154).jpg
puma,./Train/puma/12.jpg
drmartens,./Train/drmartens/110.jpg
reebok,./Train/reebok/361.jpg
lecoq,./Train/lecoq/196.jpg
reebok,./Train/reebok/2 (142).jpg
converse,./Train/converse/408.jpg
drmartens,./Train/drmartens/42.jpg
nike,./Train/nike/135.jpg
converse,./Train/converse/134.jpg
adidas,./Train/adidas/215.jpg
adidas,./Train/adidas/90.jpeg
drmartens,./Train/drmartens/256.jpg
reebok,./Train/reebok/16.jpg
converse,./Train/converse/81.jpg
drmartens,./Train/drmartens/37.jpg
reebok,./Train/reebok/2 (175).jpg
vans,./Train/vans/227.jpg
nike,./Train/nike/618.jpg
puma,./Train/puma/205.jpg
puma,./Train/puma/66.jpg
nike,./Train/nike/220.jpg
puma,./Train/puma/646.jpg
vans,./Train/vans/26.jpg
newbalance,./Train/newbalance/87 (2).jpg
drmartens,./Train/drmartens/159.jpg
zeepseen,./Train/zeepseen/pla001996.jpg
nike,./Train/nike/196.jpg
drmartens,./Train/drmartens/200.jpg
reebok,./Train/reebok/75.jpg
lecoq,./Train/lecoq/279.jpg
adidas,./Train/adidas/410.jpg
vans,./Train/vans/443.jpg
drmartens,./Train/drmartens/403.jpeg
crocs,./Train/crocs/261.jpg
sbenu,./Train/sbenu/348.jpg
nike,./Train/nike/565.jpg
lecoq,./Train/lecoq/182.jpg
adidas,./Train/adidas/306.jpg
nike,./Train/nike/593.jpg
vans,./Train/vans/238.jpg
puma,./Train/puma/23.jpg
converse,./Train/converse/167.jpg
puma,./Train/puma/400.jpg
sbenu,./Train/sbenu/712.jpg
adidas,./Train/adidas/1 (104).jpg
puma,./Train/puma/45.jpg
crocs,./Train/crocs/111.jpg
zeepseen,./Train/zeepseen/4 (2).jpg
sbenu,./Train/sbenu/566.jpg
adidas,./Train/adidas/1 (28).jpg
nike,./Train/nike/637.jpg
zeepseen,./Train/zeepseen/11308488161.20170406145315.jpg
reebok,./Train/reebok/17.jpg
newbalance,./Train/newbalance/196.jpg
nike,./Train/nike/256.jpg
converse,./Train/converse/271.jpg
vans,./Train/vans/116.jpg
puma,./Train/puma/116.jpg
adidas,./Train/adidas/54.jpg
sbenu,./Train/sbenu/26.jpg
converse,./Train/converse/485.jpg
vans,./Train/vans/424.jpg
adidas,./Train/adidas/460.jpg
zeepseen,./Train/zeepseen/35 (2).jpg
newbalance,./Train/newbalance/220.jpg
converse,./Train/converse/143.jpg
nike,./Train/nike/146.jpg
converse,./Train/converse/128.jpg
nike,./Train/nike/nike_7.jpg
puma,./Train/puma/346.jpg
descente,./Train/descente/292.jpg
puma,./Train/puma/490.jpg
adidas,./Train/adidas/563.jpg
drmartens,./Train/drmartens/23.jpg
adidas,./Train/adidas/1 (2).jpg
sbenu,./Train/sbenu/762.jpg
drmartens,./Train/drmartens/391.jpg
converse,./Train/converse/22.jpg
zeepseen,./Train/zeepseen/18 (2).jpg
converse,./Train/converse/444.jpg
reebok,./Train/reebok/571.jpg
adidas,./Train/adidas/1 (82).jpg
adidas,./Train/adidas/531.jpg
lecoq,./Train/lecoq/148.jpeg
puma,./Train/puma/340.jpg
lecoq,./Train/lecoq/165.jpg
barefoot,./Train/barefoot/12.jpg
lecoq,./Train/lecoq/17.jpg
drmartens,./Train/drmartens/342.jpg
crocs,./Train/crocs/86.jpg
converse,./Train/converse/469.jpg
converse,./Train/converse/62.jpg
vans,./Train/vans/vans_32.jpg
adidas,./Train/adidas/317.jpg
barefoot,./Train/barefoot/47.jpg
reebok,./Train/reebok/494.jpg
newbalance,./Train/newbalance/210.jpg
vans,./Train/vans/143.jpg
reebok,./Train/reebok/331.jpg
newbalance,./Train/newbalance/65.jpg
puma,./Train/puma/178.jpg
drmartens,./Train/drmartens/357.jpg
puma,./Train/puma/545.jpg
zeepseen,./Train/zeepseen/images (13).jpg
sbenu,./Train/sbenu/459.jpg
descente,./Train/descente/99.jpg
converse,./Train/converse/144.jpg
puma,./Train/puma/275.jpg
puma,./Train/puma/368.jpg
drmartens,./Train/drmartens/6 (2).jpg
zeepseen,./Train/zeepseen/465282762.jpg
adidas,./Train/adidas/1 (138).jpg
zeepseen,./Train/zeepseen/images (14).jpg
lecoq,./Train/lecoq/18.jpg
puma,./Train/puma/561.jpg
puma,./Train/puma/162.jpg
reebok,./Train/reebok/594.jpg
barefoot,./Train/barefoot/4.jpg
barefoot,./Train/barefoot/742.jpg
nike,./Train/nike/nike_11.jpg
nike,./Train/nike/81.jpg
puma,./Train/puma/202.jpg
adidas,./Train/adidas/412.jpg
puma,./Train/puma/489.jpg
crocs,./Train/crocs/138.jpg
vans,./Train/vans/266.jpg
crocs,./Train/crocs/299.jpg
converse,./Train/converse/204.jpg
adidas,./Train/adidas/25.jpg
adidas,./Train/adidas/1 (174).jpg
newbalance,./Train/newbalance/52.jpg
lecoq,./Train/lecoq/236.jpg
reebok,./Train/reebok/2 (63).jpg
converse,./Train/converse/21.jpg
nike,./Train/nike/294.jpg
lecoq,./Train/lecoq/111.jpg
reebok,./Train/reebok/511.jpg
lecoq,./Train/lecoq/107.jpg
reebok,./Train/reebok/88.jpg
reebok,./Train/reebok/2 (30).jpg
nike,./Train/nike/nike_1.jpg
puma,./Train/puma/51.jpg
crocs,./Train/crocs/214.jpg
converse,./Train/converse/515.jpg
vans,./Train/vans/432.jpg
puma,./Train/puma/210.jpg
descente,./Train/descente/77.jpg
newbalance,./Train/newbalance/255.jpg
drmartens,./Train/drmartens/89.jpg
reebok,./Train/reebok/284.jpg
descente,./Train/descente/2735603_1.jpg
vans,./Train/vans/38.jpg
vans,./Train/vans/vans_11.jpg
vans,./Train/vans/180.jpg
barefoot,./Train/barefoot/171.jpg
drmartens,./Train/drmartens/35.jpg
reebok,./Train/reebok/388.jpg
vans,./Train/vans/450.jpg
newbalance,./Train/newbalance/8 (2).jpg
sbenu,./Train/sbenu/713.jpg
newbalance,./Train/newbalance/41 (2).jpg
reebok,./Train/reebok/2 (59).jpg
vans,./Train/vans/419.jpg
lecoq,./Train/lecoq/32.jpg
crocs,./Train/crocs/212.jpg
vans,./Train/vans/92.jpg
adidas,./Train/adidas/465.jpg
crocs,./Train/crocs/25.jpg
puma,./Train/puma/124.jpg
nike,./Train/nike/383.jpg
sbenu,./Train/sbenu/191.jpg
vans,./Train/vans/295.jpg
converse,./Train/converse/69.jpg
adidas,./Train/adidas/64.jpeg
vans,./Train/vans/304.jpg
lecoq,./Train/lecoq/130.jpg
puma,./Train/puma/476.jpg
crocs,./Train/crocs/61.jpg
adidas,./Train/adidas/430.jpg
converse,./Train/converse/429.jpg
nike,./Train/nike/708.jpg
converse,./Train/converse/139.jpg
adidas,./Train/adidas/1 (145).jpg
newbalance,./Train/newbalance/309.jpg
adidas,./Train/adidas/113.jpg
descente,./Train/descente/178.jpg
drmartens,./Train/drmartens/201.jpg
adidas,./Train/adidas/202.jpg
sbenu,./Train/sbenu/367.jpg
converse,./Train/converse/527.jpg
reebok,./Train/reebok/2 (112).jpg
nike,./Train/nike/226.jpg
adidas,./Train/adidas/489.jpg
newbalance,./Train/newbalance/71.jpg
drmartens,./Train/drmartens/304.jpg
sbenu,./Train/sbenu/204.jpg
crocs,./Train/crocs/234.jpg
newbalance,./Train/newbalance/95.jpg
drmartens,./Train/drmartens/285.jpg
adidas,./Train/adidas/11.jpg
adidas,./Train/adidas/419.jpg
crocs,./Train/crocs/108.jpg
puma,./Train/puma/354.jpg
newbalance,./Train/newbalance/235.jpg
vans,./Train/vans/364.jpg
lecoq,./Train/lecoq/209.jpg
drmartens,./Train/drmartens/206.jpg
sbenu,./Train/sbenu/79.jpg
adidas,./Train/adidas/107.jpg
lecoq,./Train/lecoq/181.jpg
puma,./Train/puma/96.jpg
vans,./Train/vans/vans_9.jpg
crocs,./Train/crocs/156.jpg
nike,./Train/nike/493.jpg
newbalance,./Train/newbalance/228.jpg
adidas,./Train/adidas/153.jpg
puma,./Train/puma/562.jpg
vans,./Train/vans/217.jpg
drmartens,./Train/drmartens/384.jpg
adidas,./Train/adidas/1 (153).jpg
converse,./Train/converse/353.jpg
lecoq,./Train/lecoq/285.jpg
puma,./Train/puma/645.jpg
adidas,./Train/adidas/290.jpg
descente,./Train/descente/290.jpg
descente,./Train/descente/342.jpg
lecoq,./Train/lecoq/169.jpeg
barefoot,./Train/barefoot/74.jpg
nike,./Train/nike/393.jpg
puma,./Train/puma/147.jpg
crocs,./Train/crocs/20.jpg
converse,./Train/converse/409.jpg
adidas,./Train/adidas/1 (14).jpg
nike,./Train/nike/251.jpg
reebok,./Train/reebok/434.jpg
nike,./Train/nike/356.jpg
reebok,./Train/reebok/639.jpg
nike,./Train/nike/98.jpg
converse,./Train/converse/197.jpg
vans,./Train/vans/153.jpg
nike,./Train/nike/588.jpg
adidas,./Train/adidas/466.jpg
drmartens,./Train/drmartens/41.jpg
crocs,./Train/crocs/289.jpg
drmartens,./Train/drmartens/125.jpg
reebok,./Train/reebok/13.jpg
puma,./Train/puma/7 (2).jpg
nike,./Train/nike/395.jpg
barefoot,./Train/barefoot/50.jpg
nike,./Train/nike/614.jpg
drmartens,./Train/drmartens/240.jpg
reebok,./Train/reebok/383.jpg
barefoot,./Train/barefoot/187.jpg
nike,./Train/nike/729.jpg
vans,./Train/vans/99.jpg
nike,./Train/nike/0.jpg
vans,./Train/vans/373.jpg
puma,./Train/puma/399.jpg
descente,./Train/descente/70.jpg
crocs,./Train/crocs/122.jpg
nike,./Train/nike/122.jpg
vans,./Train/vans/344.jpg
newbalance,./Train/newbalance/103.jpg
newbalance,./Train/newbalance/305.jpg
puma,./Train/puma/626.jpg
puma,./Train/puma/219.jpg
sbenu,./Train/sbenu/670.jpg
vans,./Train/vans/vans_41.jpg
zeepseen,./Train/zeepseen/f2cbd3845.jpg
puma,./Train/puma/496.jpg
puma,./Train/puma/452.jpg
puma,./Train/puma/239.jpg
newbalance,./Train/newbalance/183.jpg
sbenu,./Train/sbenu/569.jpg
adidas,./Train/adidas/224.jpg
adidas,./Train/adidas/168.jpg
crocs,./Train/crocs/254.jpg
puma,./Train/puma/334.jpg
puma,./Train/puma/166.jpg
newbalance,./Train/newbalance/191.jpg
newbalance,./Train/newbalance/97 (2).jpg
nike,./Train/nike/24.jpg
crocs,./Train/crocs/60.jpg
nike,./Train/nike/7.jpg
puma,./Train/puma/587.jpg
